name,lines,type,latitude,longitude
ASTOR PLACE,6,IRT,40.730056,-73.991042
BERGEN ST,FG,IND,40.686154,-73.990881
BERGEN ST,FG,IND,40.686154,-73.990881
BERGEN ST,FG,IND,40.686154,-73.990881
14 ST-UNION SQ,LNQR456,BMT,40.734836,-73.990688
14 ST-UNION SQ,456LNQR,BMT,40.734836,-73.990688
14 ST-UNION SQ,LNQR456,BMT,40.734836,-73.990688
14 ST-UNION SQ,LNQR456,BMT,40.734836,-73.990688
14 ST-UNION SQ,LNRQ456,BMT,40.734836,-73.990688
14 ST-UNION SQ,LNQR456,IRT,40.734836,-73.990688
HIGH ST,AC,IND,40.699316,-73.990474
HIGH ST,AC,IND,40.699316,-73.990474
18 AVE,N,BMT,40.620728,-73.990388
EAST BROADWAY,F,IND,40.713647,-73.990152
EAST BROADWAY,F,IND,40.713647,-73.990152
BOROUGH HALL/CT,2345R,BMT,40.692404,-73.990151
BOROUGH HALL/CT,2345R,IRT,40.692404,-73.990151
BOROUGH HALL/CT,R2345,IRT,40.692404,-73.990151
BOROUGH HALL/CT,2345R,IRT,40.692404,-73.990151
2 AVE,F,IND,40.723291,-73.989873
2 AVE,F,IND,40.723291,-73.989873
42 ST-PA BUS TE,ACENQRS1237,IND,40.757303,-73.989787
42 ST-PA BUS TE,ACENQRS1237,IND,40.757303,-73.989787
42 ST-PA BUS TE,ACENQRS1237,IND,40.757303,-73.989787
42 ST-PA BUS TE,ACENQRS1237,IND,40.757303,-73.989787
42 ST-PA BUS TE,ACENQRS1237,IND,40.757303,-73.989787
23 ST-5 AVE,NR,BMT,40.741006,-73.989315
23 ST-5 AVE,NR,BMT,40.741006,-73.989315
9 ST,DFGMNR,BMT,40.67032,-73.988757
4 AVE,DFGMNR,IND,40.67032,-73.988757
28 ST-BROADWAY,NR,BMT,40.745574,-73.988682
28 ST-BROADWAY,NR,BMT,40.745574,-73.988682
THIRTY THIRD ST,1,PTH,40.748931,-73.988113
34 ST-HERALD SQ,BDFMNQR,BMT,40.749533,-73.987899
34 ST-HERALD SQ,BDFMNQR,BMT,40.749533,-73.987899
34 ST-HERALD SQ,BDFMNQR,IND,40.749533,-73.987899
34 ST-HERALD SQ,BDFMNQR,IND,40.749533,-73.987899
34 ST-HERALD SQ,BDFMNQR,IND,40.749533,-73.987899
ESSEX ST,FJMZ,BMT,40.71838,-73.987813
DELANCEY ST,FJMZ,IND,40.71838,-73.987813
DELANCEY ST,FJMZ,IND,40.71838,-73.987813
JAY ST-METROTEC,ACF,IND,40.692338,-73.987342
JAY ST-METROTEC,ACF,IND,40.692338,-73.987342
3 AVE,L,BMT,40.733243,-73.987169
3 AVE,L,BMT,40.733243,-73.987169
25 AVE,D,BMT,40.597873,-73.986955
YORK ST,F,IND,40.699756,-73.98689
42 ST-TIMES SQ,1237ACENQRS,BMT,40.755905,-73.986504
42 ST-TIMES SQ,1237ACENQRS,IRT,40.755905,-73.986504
42 ST-TIMES SQ,ACENQRS1237,IRT,40.755905,-73.986504
42 ST-TIMES SQ,1237ACENQRS,IRT,40.755905,-73.986504
42 ST-TIMES SQ,1237ACENQRS,IRT,40.755905,-73.986504
42 ST-TIMES SQ,1237ACENQRS,IRT,40.755905,-73.986504
42 ST-TIMES SQ,1237ACENQRS,IRT,40.755905,-73.986504
42 ST-TIMES SQ,1237ACENQRS,IRT,40.755905,-73.986504
42 ST-TIMES SQ,1237ACENQRS,IRT,40.755905,-73.986504
23 ST,6,IRT,40.740088,-73.986429
23 ST,6,IRT,40.740088,-73.986429
23 ST,6,IRT,40.740088,-73.986429
23 ST,6,IRT,40.740088,-73.986429
50 ST,CE,IND,40.762439,-73.985989
50 ST,CE,IND,40.762439,-73.985989
JAY ST-METROTEC,R,BMT,40.692182,-73.985935
JAY ST-METROTEC,R,BMT,40.692182,-73.985935
HOYT/SCHERMER,ACG,IND,40.688465,-73.985474
20 AVE,N,BMT,40.617373,-73.985088
HOYT ST,23,IRT,40.690547,-73.985066
HOYT ST,23,IRT,40.690545,-73.985065
42 ST-BRYANT PK,BDFM7,IND,40.754198,-73.984573
42 ST-BRYANT PK,BDFM7,IND,40.754198,-73.984573
42 ST-BRYANT PK,BDFM7,IND,40.754198,-73.984573
28 ST,6,IRT,40.743095,-73.984251
28 ST,6,IRT,40.743095,-73.984251
28 ST,6,IRT,40.743095,-73.984251
49 ST-7 AVE,NQR,BMT,40.760139,-73.984112
49 ST-7 AVE,NQR,BMT,40.760139,-73.984112
49 ST-7 AVE,NQR,BMT,40.760139,-73.984112
49 ST-7 AVE,NQR,BMT,40.760139,-73.984112
50 ST,1,IRT,40.761675,-73.983908
50 ST,1,IRT,40.761675,-73.983908
BAY 50 ST,D,BMT,40.588879,-73.983629
UNION ST,R,BMT,40.677302,-73.983135
UNION ST,R,BMT,40.677302,-73.983135
66 ST-LINCOLN,1,IRT,40.773424,-73.982234
66 ST-LINCOLN,1,IRT,40.773424,-73.982234
66 ST-LINCOLN,1,IRT,40.773424,-73.982234
BAY PKY-22 AVE,N,BMT,40.612006,-73.982009
BAY PKY-22 AVE,N,BMT,40.612006,-73.982009
5 AVE-BRYANT PK,7BDFM,IRT,40.753824,-73.981966
5 AVE-BRYANT PK,7BDFM,IRT,40.753824,-73.981966
72 ST,123,IRT,40.778575,-73.981912
72 ST,123,IRT,40.778575,-73.981912
59 ST-COLUMBUS,1ABCD,IND,40.76811,-73.981891
59 ST-COLUMBUS,ABCD1,IND,40.76811,-73.981891
59 ST-COLUMBUS,1ABCD,IRT,40.76811,-73.981891
DEKALB AVE,BDNQR,BMT,40.690612,-73.981848
33 ST,6,IRT,40.746119,-73.981826
33 ST,6,IRT,40.746119,-73.981826
33 ST,6,IRT,40.746119,-73.981826
33 ST,6,IRT,40.746119,-73.981826
1 AVE,L,BMT,40.730901,-73.981719
1 AVE,L,BMT,40.730901,-73.981719
7 AVE-53 ST,BDE,IND,40.762877,-73.98159
7 AVE-53 ST,BDE,IND,40.762877,-73.98159
47-50 ST-ROCK,BDFM,IND,40.758652,-73.981311
47-50 ST-ROCK,BDFM,IND,40.758652,-73.981311
47-50 ST-ROCK,BDFM,IND,40.758652,-73.981311
STILLWELL AVE,DFNQ,BMT,40.577423,-73.981225
STILLWELL AVE,DFNQ,BMT,40.577423,-73.981225
KINGS HIGHWAY,N,BMT,40.603967,-73.980668
57 ST-7 AVE,NQR,BMT,40.764755,-73.980646
57 ST-7 AVE,NQR,BMT,40.764755,-73.980646
NEVINS ST,2345,IRT,40.688269,-73.980453
NEVINS ST,2345,IRT,40.688269,-73.980453
7 AV-PARK SLOPE,FG,IND,40.666276,-73.980324
79 ST,1,IRT,40.783872,-73.979938
79 ST,1,IRT,40.783872,-73.979938
CHURCH AVE,FG,IND,40.644039,-73.979541
CHURCH AVE,FG,IND,40.644039,-73.979541
15 ST-PROSPECT,FG,IND,40.660376,-73.979509
